Customer ID,Customer last order date,Customer number of orders,Days since last order,Total number of orders,Total amount spent
Customer_1,9/11/2023,1,976,2,0
Customer_2,9/12/2023,1,975,2,206.41
Customer_3,9/17/2023,1,970,2,117.01
Customer_4,9/18/2023,1,969,1,1202.03
Customer_5,9/19/2023,1,968,1,35.86
Customer_6,9/20/2023,1,967,1,58.69
Customer_7,9/21/2023,1,966,1,253.01
Customer_8,9/23/2023,1,964,1,0
Customer_9,9/24/2023,1,963,2,256.14
Customer_10,9/25/2023,1,962,1,354.67
Customer_11,9/28/2023,1,959,1,0
Customer_12,10/3/2023,1,954,1,419.17
Customer_13,10/4/2023,1,953,1,0
Customer_14,10/6/2023,1,951,1,566.5
Customer_15,10/12/2023,1,945,1,1237.07
Customer_16,10/14/2023,1,943,2,79.64
Customer_17,10/15/2023,1,942,1,964.8
Customer_18,10/16/2023,1,941,3,307.78
Customer_19,10/17/2023,1,940,1,1176.93
Customer_20,10/23/2023,1,934,1,47.93
Customer_21,10/27/2023,1,930,1,58.07
Customer_22,10/28/2023,1,929,1,1.65
Customer_23,10/29/2023,1,928,1,579.15
Customer_24,11/17/2023,1,909,1,0
Customer_25,11/17/2023,2,909,2,411.52
Customer_26,11/21/2023,1,905,2,178.05
Customer_27,12/19/2023,1,877,1,98.48
Customer_28,12/21/2023,1,875,1,0
Customer_29,12/26/2023,1,870,1,0
Customer_30,1/1/2024,1,864,1,0
Customer_31,1/2/2024,1,863,1,0
Customer_32,1/5/2024,1,860,1,0
Customer_33,1/15/2024,1,850,1,372.99
Customer_34,1/24/2024,3,841,3,510.27
Customer_35,1/26/2024,1,839,1,170.35
Customer_36,2/6/2024,1,828,1,62.91
Customer_37,4/11/2024,1,763,2,205.44
Customer_38,4/17/2024,1,757,1,0
Customer_39,4/23/2024,1,751,1,355.26
Customer_40,4/26/2024,1,748,1,110.54
Customer_41,5/2/2024,1,742,1,1069.94
Customer_42,5/11/2024,1,733,1,0
Customer_43,5/16/2024,1,728,1,0
Customer_44,5/18/2024,1,726,1,0
Customer_45,5/24/2024,2,720,2,97.86
Customer_46,6/6/2024,1,707,1,73.34
Customer_47,6/7/2024,1,706,1,0
Customer_48,6/10/2024,1,703,2,68.34
Customer_49,6/15/2024,1,698,1,0
Customer_50,6/18/2024,1,695,1,0
Customer_51,7/2/2024,1,681,1,0
Customer_52,8/12/2024,9,640,9,4704.64
Customer_53,8/17/2024,1,635,1,0
Customer_54,8/29/2024,1,623,1,0
Customer_55,9/11/2024,1,610,1,0
Customer_56,9/14/2024,1,607,1,592.71
Customer_57,10/2/2024,1,589,1,50.2299
Customer_58,10/26/2024,1,565,1,123.03
Customer_59,10/27/2024,1,564,1,102.3
Customer_60,11/19/2024,3,541,3,664.83
Customer_61,12/13/2024,3,517,3,273.85
Customer_62,12/31/2024,1,499,1,0
Customer_63,1/3/2025,1,496,1,0
Customer_64,3/20/2025,2,420,2,90.27
Customer_65,4/14/2025,1,395,1,52.95
Customer_66,4/19/2025,1,390,1,335.87
Customer_67,7/27/2025,1,291,1,223.17
Customer_68,8/11/2025,1,276,1,692.33
Customer_69,8/22/2025,1,265,1,97.86
Customer_70,12/10/2025,1,155,1,49.76
Customer_71,1/2/2026,2,132,2,235.33
Customer_72,1/11/2026,1,123,1,64.19
Customer_73,2/24/2026,1,79,1,62
Customer_74,2/25/2026,1,78,1,22.42
Customer_75,3/6/2026,1,69,1,214.23
Customer_76,3/12/2026,1,63,1,64.19
Customer_77,3/17/2026,3,58,3,635.91
Customer_78,3/30/2026,3,45,3,370.62
Customer_79,4/2/2026,1,42,1,913.39
Customer_80,4/6/2026,1,38,1,217.55
Customer_81,4/8/2026,2,36,2,1644.03
Customer_82,4/14/2026,1,30,1,0
Customer_83,4/20/2026,1,24,1,25.31
Customer_84,4/22/2026,1,22,1,659.55
Customer_85,4/23/2026,1,21,1,0
Customer_86,4/25/2026,1,19,1,278.24
Customer_87,4/27/2026,1,17,1,391.02
Customer_88,4/28/2026,1,16,1,0
Customer_89,4/29/2026,1,15,2,109.15
Customer_90,5/1/2026,1,13,1,0
Customer_91,5/4/2026,2,10,2,0
Customer_92,5/4/2026,1,10,1,563.5599
Customer_93,5/5/2026,1,9,1,86.19
Customer_94,5/6/2026,1,8,1,130.08
Customer_95,5/7/2026,1,7,1,38.8
Customer_96,5/9/2026,1,5,1,54.54
Customer_97,5/11/2026,1,3,2,312.87
Customer_98,5/12/2026,1,2,1,107.24
